"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @GA_ScienceMills: Metabolism Engineering Internship: Design a health bar to feed a population after a natural disaster MYP task 1 @ampli…",FALSE,0,NA,2018-10-18 23:37:55,FALSE,NA,"1053067685188251648",NA,"<a href=""https://twitter.com/sanchitkum"" rel=""nofollow"">ifindinternship</a>","ifindinternship",2,TRUE,FALSE,NA,NA
"2","Metabolism Engineering Internship: Design a health bar to feed a population after a natural disaster MYP task 1… https://t.co/jZ6xcdutw1",FALSE,7,NA,2018-10-18 23:35:49,TRUE,NA,"1053067155128885248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GA_ScienceMills",2,FALSE,FALSE,NA,NA
"3","#DyslexiaAwarenessMonth webinar series. Register today!  https://t.co/rPauCOp6hP @amplify @ASCD @AFTunion @AFTteach https://t.co/sGsof0E0PV",FALSE,0,NA,2018-10-18 22:10:02,FALSE,NA,"1053045567906070528",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","sharemylesson",0,FALSE,FALSE,NA,NA
"4","Fun with @amplify vision and light unit. ❤️ this book on animal eyes. Today Ss got to learn about light receptors,… https://t.co/n5wzJxcNW8",FALSE,1,NA,2018-10-18 22:02:58,TRUE,NA,"1053043790489874432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlishaZ143",0,FALSE,FALSE,NA,NA
"5","@Lpalazzo01 @NClewner @PBCtrailblazers @ShineonSPES @SPESleader @amplify Love the teamwork between grade levels!!!",FALSE,1,"Lpalazzo01",2018-10-18 20:55:36,FALSE,"1053012931472973826","1053026833493618690","893644205154873345","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MSCollier3",0,FALSE,FALSE,NA,NA
"6","RT @oakridgeboys: Thank you @amplify #ShineTheLightOnChristmas

https://t.co/rlZHllpejW",FALSE,0,NA,2018-10-18 20:09:49,FALSE,NA,"1053015313397272576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TejasKat",5,TRUE,FALSE,NA,NA
"7","@Lpalazzo01 @PBCtrailblazers @ShineonSPES @SPESleader @amplify My kids had so much fun helping your students to cre… https://t.co/oz4GtOtw6x",FALSE,5,"Lpalazzo01",2018-10-18 20:01:47,TRUE,"1053012931472973826","1053013290262126598","893644205154873345","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NClewner",0,FALSE,FALSE,NA,NA
"8","Thank you to @NClewner &amp; her 5th grade trailblazers for helping out our young trailblazers in 2nd grade to create g… https://t.co/I7ueJYG9o1",FALSE,11,NA,2018-10-18 20:00:21,TRUE,NA,"1053012931472973826",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lpalazzo01",0,FALSE,FALSE,NA,NA
"9","RT @misswhited91: These @amplify wildlife biologists are ready to kick off a unit about inheritance and traits! Thanks for capturing the mo…",FALSE,0,NA,2018-10-18 19:49:53,FALSE,NA,"1053010296305053696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drbrunsonGO",1,TRUE,FALSE,NA,NA
"10","These @amplify wildlife biologists are ready to kick off a unit about inheritance and traits! Thanks for capturing… https://t.co/i6VTzUXYg0",FALSE,3,NA,2018-10-18 19:04:49,TRUE,NA,"1052998957431963650",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","misswhited91",1,FALSE,FALSE,NA,NA
