"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Ss investigating controlling chemical reactions @amplify #opshares https://t.co/6qBgu0NOYT",FALSE,3,NA,2018-10-22 20:42:51,FALSE,NA,"1054473176632020992",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","FolendorfSystem",0,FALSE,FALSE,NA,NA
"2","RT @amplify: Exactly! ""This isn’t about students being able to regurgitate a fact that they could just Google. This is about students spend…",FALSE,0,NA,2018-10-22 19:49:16,FALSE,NA,"1054459695379988481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bluebrdfebruary",1,TRUE,FALSE,NA,NA
"3","Just about to tune in to a webinar @DrLutrick &amp; @amplify are putting on called ""Dyslexia misconceptions and how to… https://t.co/auYTBVGfl9",FALSE,0,NA,2018-10-22 17:56:19,TRUE,NA,"1054431269138907136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","teachthomps",0,FALSE,FALSE,NA,NA
"4","Our report on #personalizedlearning describes a deeply collaborative and reflective approach in one school that hel… https://t.co/7RtATVrImZ",FALSE,0,NA,2018-10-22 17:00:22,TRUE,NA,"1054417186452893698",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","CRPE_UW",0,FALSE,FALSE,NA,NA
"5","RT @OlivierMallory: Investigating mixtures! My classroom may smell like vinegar forever but they had fun and learned something! @la_qui_ta…",FALSE,0,NA,2018-10-22 14:18:03,FALSE,NA,"1054376339535486976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amplify",2,TRUE,FALSE,NA,NA
"6","RT @KinderHavenRm1: #Happiness is a #Kindergarten kiddo realizing they can #read!  #DoWhatYouLove #CKLA @amplify @AAGatesPBCS #ProudToBePB…",FALSE,0,NA,2018-10-22 11:54:57,FALSE,NA,"1054340327753039879",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","monica_vincent",2,TRUE,FALSE,NA,NA
"7","RT @LydiaPierides: 3rd grade young scientists coming up with their own Magnet Tricks! Amazing how creative students can be! Having fun and…",FALSE,0,NA,2018-10-22 11:54:07,FALSE,NA,"1054340117576454152",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","monica_vincent",1,TRUE,FALSE,NA,NA
"8","RT @KinderHavenRm1: #Happiness is a #Kindergarten kiddo realizing they can #read!  #DoWhatYouLove #CKLA @amplify @AAGatesPBCS #ProudToBePB…",FALSE,0,NA,2018-10-22 01:06:08,FALSE,NA,"1054177047885570054",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","monica_vincent",2,TRUE,FALSE,NA,NA
"9","RT @sharemylesson: #DyslexiaAwarenessMonth webinar series. Register today!  https://t.co/rPauCOp6hP @amplify @ASCD @AFTunion @AFTteach http…",FALSE,0,NA,2018-10-22 00:14:33,FALSE,NA,"1054164067684966400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","misshodaahmed",1,TRUE,FALSE,NA,NA
"10","#DyslexiaAwarenessMonth webinar series. Register today!  https://t.co/rPauCOp6hP @amplify @ASCD @AFTunion @AFTteach https://t.co/6LuMs2dhbd",FALSE,1,NA,2018-10-21 21:10:01,FALSE,NA,"1054117628426510336",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","sharemylesson",1,FALSE,FALSE,NA,NA
"11","RT @Valeriasketches: “Loved creating my vocabulary list” -Ss

#iconLibrary #engineeringInternship @amplify #shareYourWork #StudentSketchnot…",FALSE,0,NA,2018-10-21 13:22:29,FALSE,NA,"1053999970444025856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PTSketchNote",4,TRUE,FALSE,NA,NA
"12","RT @Valeriasketches: “Loved creating my vocabulary list” -Ss

#iconLibrary #engineeringInternship @amplify #shareYourWork #StudentSketchnot…",FALSE,0,NA,2018-10-21 13:15:48,FALSE,NA,"1053998285399166977",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","dpspinnato",4,TRUE,FALSE,NA,NA
"13","#DyslexiaAwarenessMonth webinar series. Register today!  https://t.co/g8INVkA3TN @amplify @ASCD @AFTunion https://t.co/1hItWVuTbU",FALSE,2,NA,2018-10-21 13:02:00,FALSE,NA,"1053994813278707712",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AFTteach",0,FALSE,FALSE,NA,NA
"14","RT @OlivierMallory: Investigating mixtures! My classroom may smell like vinegar forever but they had fun and learned something! @la_qui_ta…",FALSE,0,NA,2018-10-20 21:11:26,FALSE,NA,"1053755595474567168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LSupts",2,TRUE,FALSE,NA,NA
"15","@LicariMarisa @plickers @amplify Thank you for teaching me to use @Plickers !!!",FALSE,1,"LicariMarisa",2018-10-20 19:52:01,FALSE,"1053357322377064450","1053735608684822530","1005427106111684608","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MargaretRistoff",0,FALSE,FALSE,NA,NA
"16","RT @ClassroomD4: Learning about #JuliusCaesar as part of a larger study of Ancient Rome. The broad general content knowledge we're learning…",FALSE,0,NA,2018-10-20 15:01:27,FALSE,NA,"1053662484379455489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ehanford",2,TRUE,FALSE,NA,NA
"17","Investigating mixtures! My classroom may smell like vinegar forever but they had fun and learned something!… https://t.co/XRtATOY8Ks",FALSE,7,NA,2018-10-20 12:43:28,TRUE,NA,"1053627760487337988",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OlivierMallory",2,FALSE,FALSE,NA,NA
"18","RT @KinderHavenRm1: #Happiness is a #Kindergarten kiddo realizing they can #read!  #DoWhatYouLove #CKLA @amplify @AAGatesPBCS #ProudToBePB…",FALSE,0,NA,2018-10-20 11:29:44,FALSE,NA,"1053609206148935681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AAGatesPBCS",2,TRUE,FALSE,NA,NA
"19","RT @KinderHavenRm1: #Happiness is a #Kindergarten kiddo realizing they can #read!  #DoWhatYouLove #CKLA @amplify @AAGatesPBCS #ProudToBePB…",FALSE,0,NA,2018-10-20 11:29:41,FALSE,NA,"1053609192672686082",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AAGatesPBCS",2,TRUE,FALSE,NA,NA
