"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Big assessments give big information about student performance. Daily lessons give daily information about student… https://t.co/0IqNxfpaJX",FALSE,0,NA,2018-10-24 15:08:00,TRUE,NA,"1055113688225595392",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","amplify",0,FALSE,FALSE,NA,NA
"2","Looking for a more complete and accurate view of student performance for your middle schoolers? Join Deb Sabin’s pr… https://t.co/hWvAAvC6Qv",FALSE,2,NA,2018-10-23 15:09:03,TRUE,NA,"1054751561392574464",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","amplify",2,FALSE,FALSE,NA,NA
"3","Exactly! ""This isn’t about students being able to regurgitate a fact that they could just Google. This is about stu… https://t.co/emLsEBpvbv",FALSE,0,NA,2018-10-22 18:05:27,TRUE,NA,"1054433565780443136",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","amplify",1,FALSE,FALSE,NA,NA
"4","Let’s assess your middle school assessment plan. Come to Deb Sabin’s session at #AMLE2018 to discuss best practices… https://t.co/AA7Qgjfapn",FALSE,1,NA,2018-10-22 15:18:40,TRUE,NA,"1054391593397035008",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","amplify",1,FALSE,FALSE,NA,NA
"5","Happiness is waking up on a Monday morning to see a tweet like this! https://t.co/BXEJhO2Ztf",FALSE,4,NA,2018-10-22 14:18:35,FALSE,NA,"1054376474206261248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amplify",0,FALSE,FALSE,NA,NA
"6","RT @OlivierMallory: Investigating mixtures! My classroom may smell like vinegar forever but they had fun and learned something! @la_qui_ta…",FALSE,0,NA,2018-10-22 14:18:03,FALSE,NA,"1054376339535486976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amplify",2,TRUE,FALSE,NA,NA
"7","""Amplify has been able to win over schools in all 50 states. Its new science offering... has been adopted by major… https://t.co/Um5iApq7DO",FALSE,1,NA,2018-10-19 15:09:06,TRUE,NA,"1053302025524518912",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","amplify",3,FALSE,FALSE,NA,NA
"8","RT @sheribergeron_: Populations and resources! @amplify My 6th grade students at @msaw are ready to become mini ecologist and investigate w…",FALSE,0,NA,2018-10-19 13:54:28,FALSE,NA,"1053283240444858370",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amplify",2,TRUE,FALSE,NA,NA
"9","Exactly! ""This isn’t about students being able to regurgitate a fact that they could just Google. This is about stu… https://t.co/1rsfj3DrNo",FALSE,1,NA,2018-10-18 20:48:38,TRUE,NA,"1053025081331466241",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","amplify",1,FALSE,FALSE,NA,NA
"10","During a visit to a third-grade classroom, she made the mistake of saying to one student, “You’re helping the wildl… https://t.co/W02tNcwOBu",FALSE,1,NA,2018-10-18 18:11:39,TRUE,NA,"1052985575446376448",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","amplify",0,FALSE,FALSE,NA,NA
"11","During a visit to a third-grade classroom, she made the mistake of saying to one student, “You’re helping the wildl… https://t.co/dUfdGshs5q",FALSE,0,NA,2018-10-18 15:06:20,TRUE,NA,"1052938941123518465",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","amplify",0,FALSE,FALSE,NA,NA
"12","RT @mcnaryclass: @amplify #ckla #stories It's been fun creating this group story map chart with students and doing shared writing! Students…",FALSE,0,NA,2018-10-18 13:57:06,FALSE,NA,"1052921518299197446",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amplify",1,TRUE,FALSE,NA,NA
"13","RT @MrsDorvilus: My Ss loved making a flip book about our story today! Shout out to @HughesHangout for stopping by! #VikingVoyage19 @VerdeP…",FALSE,0,NA,2018-10-18 13:56:51,FALSE,NA,"1052921454403231749",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amplify",1,TRUE,FALSE,NA,NA
