"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Scobleizer @elonmusk @Tesla Unrelated but what are the odds of getting a full res copy of that pic, really want it‚Ä¶ https://t.co/aUMG29tDyj",FALSE,0,"Scobleizer",2018-10-05 23:59:50,TRUE,"1047951136311803904","1048362158759825408","13348","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","EdwardReadsNews",0,FALSE,FALSE,NA,NA
"2","@heathwiley1 @elonmusk @MebFaber who the heck shorts a company that places 450M without diluting 1 single share wit‚Ä¶ https://t.co/NMR2YC9Fka",FALSE,0,"heathwiley1",2018-10-05 23:59:48,TRUE,"1048361175677849600","1048362150463463424","804669530010173441","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","KoolerAid",0,FALSE,FALSE,NA,NA
"3","@elonmusk I‚Äôm trying to not look at how much I‚Äôm down on my shares , I‚Äôm just hoping earnings will deliver Ì†ΩÌ∏Ä . Please deliver",FALSE,0,"elonmusk",2018-10-05 23:59:43,FALSE,NA,"1048362128611004416","44196397","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jasontoronto1",0,FALSE,FALSE,NA,NA
"4","@elonmusk My ""check for update"" button is buggy. Should I check with Dev.. ha keep rocking Elon! https://t.co/5Zo7aUZndM",FALSE,0,"elonmusk",2018-10-05 23:59:40,FALSE,NA,"1048362115663323136","44196397","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cuba_Steve",0,FALSE,FALSE,NA,NA
"5","RT @ValueAnalyst1: $TSLA I don't think anything @elonmusk does is by mistake or out of carelessness. He is potentially the most intelligent‚Ä¶",FALSE,0,NA,2018-10-05 23:59:28,FALSE,NA,"1048362064069062656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Everman",7,TRUE,FALSE,NA,NA
"6","@womensmarch @SenatorCollins This case wasn‚Äôt even about rape. This is why no one takes you seriously. You radical‚Ä¶ https://t.co/1Uh9Gm1C0G",FALSE,0,"womensmarch",2018-10-05 23:59:27,TRUE,"1048320322724925440","1048362061204353024","800942537083068416","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Crypto_ElonMusk",0,FALSE,FALSE,NA,NA
"7","RT @S_Valdivieso: Elon, Short-sellers CAN NOT destroy great companies, period, they have never done it before. Their only chance to win is‚Ä¶",FALSE,0,NA,2018-10-05 23:58:50,FALSE,NA,"1048361903913951233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mestaylandaeta",1,TRUE,FALSE,NA,NA
"8","RT @NaifFCB_: Madrid's trebles in their 113 year history: https://t.co/fWcRnNaO6O",FALSE,0,NA,2018-10-05 23:58:23,FALSE,NA,"1048361790508355589",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OutBarto",17,TRUE,FALSE,NA,NA
"9","RT @KQEDNewsroom: @ScottDikkers stopped by @KQED to talk about his satirical new book on @ElonMusk. He says he won't go to Mars. @thuy http‚Ä¶",FALSE,0,NA,2018-10-05 23:58:17,FALSE,NA,"1048361768446246912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CulturallyDeMag",2,TRUE,FALSE,NA,NA
"10","@elonmusk great job! https://t.co/ZiePatnKWN",FALSE,0,"elonmusk",2018-10-05 23:58:13,FALSE,NA,"1048361751413059584","44196397","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kristen49662963",0,FALSE,FALSE,NA,NA
