"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @mavrikis: Well done! Our studies @EdTechMA_UCL and alumni @BeyondTheMA will find this interesting. A lot of discussions around data and…",FALSE,0,NA,2018-10-18 22:31:35,FALSE,NA,"1053050991657058309",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeyondTheMA",1,TRUE,FALSE,NA,NA
"2","Response to our #DigCiz call from a student perspective.

Erica Kalberer a student here at SNC responds to our ques… https://t.co/LyLB7SXRrq",FALSE,0,NA,2018-10-18 21:21:45,TRUE,NA,"1053033417531633666",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Autumm",0,FALSE,FALSE,NA,NA
"3","RT @epetersmtl: .@mpusic presenting that #LearningAnalytics permits to better define mastery. For learners evaluating X-Rays in a simulated…",FALSE,0,NA,2018-10-18 20:50:58,FALSE,NA,"1053025667841961987",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CelestinoGutirr",3,TRUE,FALSE,NA,NA
"4","RT @Jisc: Our national #LearningAnalytics service has the potential to transform students’ learning experience, support their wellbeing and…",FALSE,0,NA,2018-10-18 20:48:16,FALSE,NA,"1053024988712882177",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ellenbuck",3,TRUE,FALSE,NA,NA
"5","RT @Jisc: Our national #LearningAnalytics service has the potential to transform students’ learning experience, support their wellbeing and…",FALSE,0,NA,2018-10-18 20:28:23,FALSE,NA,"1053019984862040067",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","martin_hamilton",3,TRUE,FALSE,NA,NA
"6","Our national #LearningAnalytics service has the potential to transform students’ learning experience, support their… https://t.co/ViV4odqiwd",FALSE,3,NA,2018-10-18 20:28:00,TRUE,NA,"1053019889420693510",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Jisc",3,FALSE,FALSE,NA,NA
"7","RT @martin_hamilton: Reinventing the library - knowledge services in an AI age. Watch the video of my talk for Health Education England #Mi…",FALSE,0,NA,2018-10-18 20:24:35,FALSE,NA,"1053019029689040896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","medlibrarian2",5,TRUE,FALSE,NA,NA
"8","RT @kathrine711: Can’t wait to start this MOOC, Experience Matters: A Crash Course in Learning Experience Design @HT2labs #LXPMOOC #Persona…",FALSE,0,NA,2018-10-18 20:07:44,FALSE,NA,"1053014790396764160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","j_maassen",1,TRUE,FALSE,NA,NA
"9","RT @martin_hamilton: Reinventing the library - knowledge services in an AI age. Watch the video of my talk for Health Education England #Mi…",FALSE,0,NA,2018-10-18 20:00:59,FALSE,NA,"1053013090122502145",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GOSchoolforInf1",5,TRUE,FALSE,NA,NA
"10","RT @RB_Cavalcanti: Thanks for coming to #LearningAnalytics 2.0 #icre2018 https://t.co/HoipgCl1QM",FALSE,0,NA,2018-10-18 19:43:09,FALSE,NA,"1053008603064324096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Royal_College",1,TRUE,FALSE,NA,NA
"11","Thanks for coming to #LearningAnalytics 2.0 #icre2018 https://t.co/HoipgCl1QM",FALSE,1,NA,2018-10-18 19:42:17,FALSE,NA,"1053008386483077120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RB_Cavalcanti",1,FALSE,FALSE,NA,NA
"12","RT @martin_hamilton: Reinventing the library - knowledge services in an AI age. Watch the video of my talk for Health Education England #Mi…",FALSE,0,NA,2018-10-18 19:38:24,FALSE,NA,"1053007407440424963",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lizmcgettigan",5,TRUE,FALSE,NA,NA
"13","RT @martin_hamilton: Reinventing the library - knowledge services in an AI age. Watch the video of my talk for Health Education England #Mi…",FALSE,0,NA,2018-10-18 19:33:42,FALSE,NA,"1053006226412441601",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RuthCarlyle",5,TRUE,FALSE,NA,NA
"14","RT @martin_hamilton: Reinventing the library - knowledge services in an AI age. Watch the video of my talk for Health Education England #Mi…",FALSE,0,NA,2018-10-18 19:32:40,FALSE,NA,"1053005964658597894",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EdtechMcKean",5,TRUE,FALSE,NA,NA
"15","Reinventing the library - knowledge services in an AI age. Watch the video of my talk for Health Education England… https://t.co/rAdR9KQIfK",FALSE,3,NA,2018-10-18 19:32:25,TRUE,NA,"1053005901051899912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","martin_hamilton",5,FALSE,FALSE,NA,NA
"16","RT @RB_Cavalcanti: Great conversations at #LearningAnalytics 2.0 #ICRE2018 - what a fantastic group. https://t.co/KfA14YmnDo",FALSE,0,NA,2018-10-18 19:21:13,FALSE,NA,"1053003081464479745",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JoH_MedEdExplr",2,TRUE,FALSE,NA,NA
"17","RT @RB_Cavalcanti: Do raters do straight line assessments (halo effect)? Data from @stanhamstra at ACGME allows for analyses of how frequen…",FALSE,0,NA,2018-10-18 19:16:59,FALSE,NA,"1053002017621258241",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JoH_MedEdExplr",5,TRUE,FALSE,NA,NA
"18","RT @RB_Cavalcanti: Great conversations at #LearningAnalytics 2.0 #ICRE2018 - what a fantastic group. https://t.co/KfA14YmnDo",FALSE,0,NA,2018-10-18 18:34:07,FALSE,NA,"1052991228566855680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drjfrank",2,TRUE,FALSE,NA,NA
"19","RT @Welteninstitute: Data is the fuel to boost the knowledge economy and #learninganalytics can help stakeholders in #education to monitor,…",FALSE,0,NA,2018-10-18 18:28:30,FALSE,NA,"1052989814671323137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elsdestickere",1,TRUE,FALSE,NA,NA
"20","RT @epetersmtl: .@stanhamstra presenting that there’s always complexity in evaluation data. A number of residents haven’t hit any of their…",FALSE,0,NA,2018-10-18 18:13:41,FALSE,NA,"1052986085624623104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TomVargheseJr",3,TRUE,FALSE,NA,NA
